GitHub Repo,Label1 (Y/N),Label2 (Y/N),Final Label
Project-MONAI/MONAI,Y,Y,Y
llSourcell/Neural_Network_Voices,N,N,N
1989Ryan/Semantic_SLAM,N,N,N
AFAgarap/cnn-svm,N,Y,
AICoE/prometheus-anomaly-detector,N,Y,
ARM-software/CMSIS_5,Y,Y,Y
AaronWard/covidify,N,Y,
Adlik/Adlik,Y,Y,Y
AntonMu/TrainYourOwnYOLO,N,Y,
BachiLi/redner,N,Y,
Belval/TextRecognitionDataGenerator,N,Y,
BindsNET/bindsnet,N,Y,
BloodAxe/pytorch-toolbelt,Y,Y,Y
BrikerMan/Kashgari,Y,Y,Y
CLUEbenchmark/CLUE,N,Y,
Cadene/bootstrap.pytorch,N,Y,
Calamari-OCR/calamari,Y,Y,Y
Ciphey/Ciphey,Y,Y,Y
ClementPinard/SfmLearner-Pytorch,N,Y,
ConvLab/ConvLab,N,Y,
CorentinJ/Real-Time-Voice-Cloning,N,Y,
CornellNLP/Cornell-Conversational-Analysis-Toolkit,Y,Y,Y
CyberZHG/keras-bert,N,Y,
DLR-RM/stable-baselines3,Y,Y,Y
DSE-MSU/DeepRobust,Y,Y,Y
DagnyT/hardnet,N,Y,
DigitalSlideArchive/HistomicsTK,Y,Y,Y
DongjunLee/kino-bot,N,Y,
EdinburghNLP/nematus,Y,Y,Y
EpistasisLab/tpot,Y,Y,Y
FederatedAI/FATE,Y,Y,Y
FunctionLab/selene,Y,Y,Y
GRAAL-Research/poutyne,Y,Y,Y
GoogleCloudPlatform/ai-platform-samples,N,Y,
GoogleCloudPlatform/healthcare,Y,Y,Y
GoogleCloudPlatform/ml-on-gcp,N,Y,
GoogleCloudPlatform/professional-services,Y,Y,Y
GoogleCloudPlatform/python-docs-samples,Y,Y,Y
GoogleCloudPlatform/tensorflow-without-a-phd,N,Y,
GoogleCloudPlatform/training-data-analyst,N,Y,
Ha0Tang/AttentionGAN,N,Y,
Ha0Tang/GestureGAN,N,N,N
Ha0Tang/SelectionGAN,N,N,N
HazyResearch/fonduer,Y,Y,Y
HumanCompatibleAI/adversarial-policies,N,Y,
IBM/AIF360,Y,Y,Y
IBM/AIX360,Y,Y,Y
IBM/adversarial-robustness-toolbox,Y,Y,Y
IBM/lale,Y,Y,Y
JayYip/bert-multitask-learning,N,Y,
Kaixhin/Rainbow,N,N,N
KaiyangZhou/deep-person-reid,N,Y,
KevinMusgrave/powerful-benchmarker,N,N,N
KevinMusgrave/pytorch-metric-learning,Y,Y,Y
LPDI-EPFL/masif,N,N,N
LiberAI/NSpM,N,Y,
LoSealL/VideoSuperResolution,N,Y,
Lyken17/pytorch-OpCounter,N,N,N
MAIF/melusine,Y,Y,Y
MIC-DKFZ/nnUNet,Y,Y,Y
MIC-DKFZ/trixi,Y,Y,Y
MIPT-Oulu/solt,Y,Y,Y
MITK/MITK,Y,Y,Y
MarcSkovMadsen/awesome-streamlit,Y,Y,Y
MarkUsProject/Markus,Y,Y,Y
MaybeShewill-CV/CRNN_Tensorflow,N,Y,
MaybeShewill-CV/lanenet-lane-detection,N,Y,
MegviiDetection/video_analyst,Y,Y,Y
Mini-Conf/Mini-Conf,Y,Y,Y
MisaOgura/flashtorch,Y,Y,Y
MrGiovanni/ModelsGenesis,Y,Y,Y
MycroftAI/mycroft-precise,Y,Y,Y
NLeSC/mcfly,Y,Y,Y
NVIDIA/DeepLearningExamples,Y,Y,Y
NVIDIA/Megatron-LM,Y,Y,Y
NVIDIA/NeMo,Y,Y,Y
NVIDIA/TRTorch,Y,Y,Y
NVIDIA/tacotron2,N,Y,
NVIDIAGameWorks/kaolin,Y,Y,Y
NVISO-BE/ee-outliers,Y,Y,Y
NervanaSystems/distiller,Y,Y,Y
NervanaSystems/nlp-architect,Y,Y,Y
NeuromorphicProcessorProject/snn_toolbox,Y,Y,Y
Novetta/adaptnlp,Y,Y,Y
OUCMachineLearning/OUCML,N,N,N
Open-Debin/Emotion-FAN,N,N,N
OpenMined/PySyft,Y,Y,Y
OpenNMT/OpenNMT-py,Y,Y,Y
OpenNMT/OpenNMT-tf,Y,Y,Y
PacktPublishing/Advanced-Deep-Learning-with-Keras,N,N,N
PacktPublishing/Deep-Reinforcement-Learning-Hands-On,N,Y,
PaddlePaddle/PARL,Y,Y,Y
PaddlePaddle/models,Y,Y,Y
PetrochukM/PyTorch-NLP,N,Y,
PhoenixDL/rising,N,Y,
PreferredAI/cornac,Y,Y,Y
PyTorchLightning/pytorch-lightning,Y,Y,Y
QData/TextAttack,Y,Y,Y
Qiskit/qiskit-aqua,Y,Y,Y
ROCmSoftwarePlatform/tensorflow-upstream,Y,Y,Y
RTIInternational/gobbli,Y,Y,Y
RexYing/gnn-model-explainer,N,N,N
RussTedrake/underactuated,Y,Y,Y
SPFlow/SPFlow,N,Y,
SeanNaren/deepspeech.pytorch,Y,Y,Y
SeldonIO/alibi,Y,Y,Y
SeldonIO/alibi-detect,Y,Y,Y
SeldonIO/seldon-core,Y,Y,Y
ShangtongZhang/DeepRL,N,Y,
SkalskiP/ILearnDeepLearning.py,N,N,N
SpursLipu/YOLOv3-ModelCompression-MultidatasetTraining-Multibackbone,N,Y,
StanfordVL/MinkowskiEngine,Y,Y,Y
Sujit-O/pykg2vec,Y,Y,Y
SurrealAI/surreal,N,Y,
TAMU-VITA/DeblurGANv2,N,N,N
THUDM/cogdl,Y,Y,Y
TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,N,Y,
Tessellate-Imaging/Monk_Object_Detection,Y,Y,Y
Tessellate-Imaging/monk_v1,Y,Y,Y
TheAlgorithms/Python,Y,Y,Y
Tianxiaomo/pytorch-YOLOv4,N,N,N
Tiiiger/QPyTorch,Y,Y,Y
UKPLab/sentence-transformers,Y,Y,Y
Unity-Technologies/marathon-envs,N,Y,
Unity-Technologies/ml-agents,Y,Y,Y
VainF/pytorch-msssim,N,Y,
VertaAI/modeldb,Y,Y,Y
XanaduAI/pennylane,Y,Y,Y
XanaduAI/strawberryfields,Y,Y,Y
Xilinx/brevitas,Y,Y,Y
YaleDHLab/pix-plot,N,N,N
YosefLab/scVI,Y,Y,Y
ZQPei/deep_sort_pytorch,N,Y,
adobe/antialiased-cnns,N,N,N
advboxes/AdvBox,N,Y,
aimacode/aima-python,Y,Y,Y
aiqm/torchani,Y,Y,Y
aisolab/nlp_classification,N,Y,
albumentations-team/albumentations,Y,Y,Y
alfredfrancis/ai-chatbot-framework,Y,Y,Y
alibaba/ai-matrix,N,N,N
allegroai/trains,N,Y,
allenai/allennlp,Y,Y,Y
allenai/scibert,N,N,N
alvinwan/neural-backed-decision-trees,N,Y,
amaiya/ktrain,Y,Y,Y
amansrivastava17/embedding-as-service,N,Y,
amzn/xfer,Y,Y,Y
analyticalmindsltd/smote_variants,N,Y,
anicolson/DeepXi,N,Y,
apache/beam,Y,Y,Y
apache/submarine,Y,Y,Y
apachecn/Interview,Y,Y,Y
apachecn/pytorch-doc-zh,N,Y,
apple/turicreate,Y,Y,Y
arita37/mlmodels,Y,Y,Y
arogozhnikov/einops,N,Y,
arogozhnikov/hep_ml,Y,Y,Y
arviz-devs/arviz,Y,Y,Y
as-ideas/TransformerTTS,Y,Y,Y
asappresearch/flambe,Y,Y,Y
asappresearch/sru,N,Y,
astooke/rlpyt,Y,Y,Y
athena-team/athena,Y,Y,Y
autorope/donkeycar,Y,Y,Y
avrae/avrae,Y,Y,Y
awslabs/amazon-sagemaker-examples,Y,Y,Y
baldassarreFe/deep-koalarization,Y,Y,Y
batra-mlp-lab/visdial-challenge-starter-pytorch,N,Y,
bayesiains/nflows,N,Y,
beringresearch/ivis,Y,Y,Y
berkmancenter/mediacloud,Y,Y,Y
bethgelab/foolbox,N,Y,
bethgelab/siamese-mask-rcnn,N,Y,
beyretb/AnimalAI-Olympics,N,N,N
bhoov/exbert,N,Y,
biolib/openprotein,N,N,N
bitextor/bitextor,N,Y,
black0017/MedicalZooPytorch,Y,N,
brainiak/brainiak,Y,Y,Y
bricewalker/Hey-Jetson,Y,Y,Y
broadinstitute/keras-rcnn,N,Y,
bulletphysics/bullet3,Y,Y,Y
bureaucratic-labs/dostoevsky,Y,Y,Y
calico/basenji,Y,Y,Y
carefree0910/MachineLearning,N,N,N
catalyst-team/catalyst,Y,Y,Y
cgre-aachen/gempy,Y,Y,Y
chuyangliu/snake,Y,Y,Y
cisco/mindmeld,Y,Y,Y
cmu-db/ottertune,Y,Y,Y
cmusatyalab/OpenTPOD,N,Y,
colearninglounge/co-learning-lounge,N,Y,
commaai/openpilot,Y,Y,Y
cornell-zhang/heterocl,Y,Y,Y
cornellius-gp/gpytorch,Y,Y,Y
cortexlabs/cortex,Y,Y,Y
cpnota/autonomous-learning-library,N,Y,
creme-ml/creme,Y,Y,Y
danielegrattarola/spektral,Y,Y,Y
danielhanchen/hyperlearn,N,Y,
data-science-on-aws/workshop,N,Y,
databricks/spark-deep-learning,Y,Y,Y
datamllab/rlcard,Y,Y,Y
ddbourgin/numpy-ml,Y,Y,Y
